date,average_gas_per_transaction
2022-09-07,3769289592163.7266
2022-09-06,3271113479408.686
2022-09-05,3507135613665.382
2022-09-04,3005865555517.146
2022-09-03,35996499399774.34
2022-09-02,2897043114059.385
2022-09-01,2601957726805.901
2022-08-31,2660584760008.3555
2022-08-30,2641784669473.0635
2022-08-29,2942151716468.1543
2022-08-28,2371666969605.156
2022-08-27,1902999618952.401
2022-08-26,2339362117422.024
2022-08-25,2463237075758.7583
2022-08-24,2918455936345.3667
2022-08-23,2406394512647.634
2022-08-22,2627923916343.0396
2022-08-21,3382044583047.4966
2022-08-20,2807292838425.097
2022-08-19,3555887312171.7686
2022-08-18,4114701100256.9243
2022-08-17,2955985060916.629
2022-08-16,3371957464487.659
2022-08-15,3009994512517.729
2022-08-14,3194425462997.715
2022-08-13,2787282891432.8887
2022-08-12,3674161512902.132
2022-08-11,2944697890638.7373
2022-08-10,3125551155170.819
2022-08-09,2837881521061.8833
2022-08-08,3483941375513.5864
2022-08-07,3044871339632.148
2022-08-06,3171648175912.036
2022-08-05,3000410469573.373
2022-08-04,3378149309748.913
2022-08-03,3496257181214.7114
2022-08-02,3563024153031.596
2022-08-01,4730917697382.905
2022-07-31,4287701416911.655
2022-07-30,1611249211484.6907
2022-07-29,2038199876563.8762
2022-07-28,3010143775194.6753
2022-07-27,3108506421534.6084
2022-07-26,3406414899248.225
2022-07-25,2626262561406.3594
2022-07-24,2697615610019.9155
2022-07-23,1936646018413.6438
2022-07-22,2969509798150.1514
2022-07-21,2547073379159.746
2022-07-20,3062017830287.4404
2022-07-19,4700467757359.417
2022-07-18,3759947043902.806
2022-07-17,3891041352610.175
2022-07-16,2576559358829.7744
2022-07-15,2749622947797.938
2022-07-14,3065562790379.242
2022-07-13,3413428274178.7017
2022-07-12,2921537926982.6924
2022-07-11,2844599885706.9004
2022-07-10,3434717735478.3867
2022-07-09,3454506747850.741
2022-07-08,4458369799541.389
2022-07-07,4239598178798.5327
2022-07-06,3253407954939.141
2022-07-05,3243170519885.925
2022-07-04,3000048685146.5547
2022-07-03,3553259467873.448
2022-07-02,3737901248385.377
2022-07-01,5592885760605.436
2022-06-30,4390963747288.87
2022-06-29,4145573101232.415
2022-06-28,3194748125328.8545
2022-06-27,3338074939693.445
2022-06-26,3644378290430.539
2022-06-25,3593168436403.348
2022-06-24,3958744934805.7036
2022-06-23,2969468840172.084
2022-06-22,3548523116038.5747
2022-06-21,7216771168714.065
2022-06-20,4203911088917.789
2022-06-19,5707993176141.8545
2022-06-18,8177865766191.221
2022-06-17,7122895248042.152
2022-06-16,7909471386509.641
2022-06-15,7557946660811.478
2022-06-14,7384965999219.207
2022-06-13,8316821332412.889
2022-06-12,6062493595375.946
2022-06-11,5764249346223.89
2022-06-10,7585995605251.376
2022-06-09,4468137135675.322
2022-06-08,4122586465487.052
2022-06-07,5739141070221.112
2022-06-06,4446343232944.585
2022-06-05,5281263485226.615
2022-06-04,3308527749832.4365
2022-06-03,3765363002963.122
2022-06-02,3588780566836.772
2022-06-01,3555412584275.5938
2022-05-31,4203612513752.109
2022-05-30,6038422270076.123
2022-05-29,3948278670013.684
2022-05-28,5400446418908.39
2022-05-27,5377509228578.289
2022-05-26,4611351783531.4375
2022-05-25,3682319550613.141
2022-05-24,3657907762592.6123
2022-05-23,3712711256522.0845
2022-05-22,5089976305150.363
2022-05-21,5341434180739.764
2022-05-20,2723441297131.9644
2022-05-19,3616926733838.7593
2022-05-18,2909433092940.41
2022-05-17,1961110811800.3948
2022-05-16,4295776100552.2925
2022-05-15,4959439572593.054
