date,total_volume
2022-09-07,187798691308912123846.000000000
2022-09-06,267977002600956076381.000000000
2022-09-05,124457621176178221402.000000000
2022-09-04,80740916596031813082.000000000
2022-09-03,73056346117171211644.000000000
2022-09-02,148438930230464043051.000000000
2022-09-01,122324327211165145560.000000000
2022-08-31,97111482075360298264.000000000
2022-08-30,124265615276687663036.000000000
2022-08-29,113892264065288852213.000000000
2022-08-28,105777151374139407014.000000000
2022-08-27,133386628012856349700.000000000
2022-08-26,143207957916706155129.000000000
2022-08-25,229019018817141029810.000000000
2022-08-24,364956770992606084492.000000000
2022-08-23,110399311215041240799.000000000
2022-08-22,414924105194126729743.000000000
2022-08-21,89443015816482208368.000000000
2022-08-20,151643052485484109785.000000000
2022-08-19,311380463748411803473.000000000
2022-08-18,724583208031661425168.000000000
2022-08-17,464686892168801234326.000000000
2022-08-16,165091848392540494316.000000000
2022-08-15,238891977949454024285.000000000
2022-08-14,258369577316192427099.000000000
2022-08-13,194623979790482082539.000000000
2022-08-12,259981560717157634480.000000000
2022-08-11,320629032175770508535.000000000
2022-08-10,195437219550572610858.000000000
2022-08-09,187017332111697042978.000000000
2022-08-08,135164423624634756785.000000000
2022-08-07,171807129778511336780.000000000
2022-08-06,485695770227688260192.000000000
2022-08-05,164128592876013280314.000000000
2022-08-04,107413847418556717872.000000000
2022-08-03,151060083829049315344.000000000
2022-08-02,177592444729973670609.000000000
2022-08-01,136769342860312490904.000000000
2022-07-31,416919129908582948984.000000000
2022-07-30,6935982921308553629.000000000
2022-07-29,283391119287508803125.000000000
2022-07-28,535739827026518625476.000000000
2022-07-27,211234816774915114789.000000000
2022-07-26,389736337602599124704.000000000
2022-07-25,427388099669252094229.000000000
2022-07-24,87060860888181694124.000000000
2022-07-23,126671458669611626522.000000000
2022-07-22,304344681303347902899.000000000
2022-07-21,126306488571504085612.000000000
2022-07-20,503909949558841896178.000000000
2022-07-19,483098585510712614132.000000000
2022-07-18,234412278904469719921.000000000
2022-07-17,132483698885772422054.000000000
2022-07-16,143515205353245227919.000000000
2022-07-15,196768738442181473032.000000000
2022-07-14,403713436527583634032.000000000
2022-07-13,236666218581578251350.000000000
2022-07-12,239110490871500384725.000000000
2022-07-11,169859691762040857287.000000000
2022-07-10,111414098510875666785.000000000
2022-07-09,129558374940450601316.000000000
2022-07-08,294024212187462107967.000000000
2022-07-07,227324705288214506071.000000000
2022-07-06,176355662491940374806.000000000
2022-07-05,275968061879672889371.000000000
2022-07-04,167562632346109865382.000000000
2022-07-03,156541703221614863860.000000000
2022-07-02,246698378290394435455.000000000
2022-07-01,420336047835732632155.000000000
2022-06-30,439292663250109503602.000000000
2022-06-29,355884213692502962938.000000000
2022-06-28,461095831936362025060.000000000
2022-06-27,363758997472276840474.000000000
2022-06-26,446469423432687331254.000000000
2022-06-25,626285220534530661597.000000000
2022-06-24,906538207367704937281.000000000
2022-06-23,297932541119933329554.000000000
2022-06-22,389895878314209138507.000000000
2022-06-21,1169123704429136895763.000000000
2022-06-20,321403495839526995847.000000000
